family,tool_name,count
Cloud Platforms & Services,AWS,107
Cloud Platforms & Services,Azure,82
Cloud Platforms & Services,GCP,37
Cloud Platforms & Services,OpenAI,19
Cloud Platforms & Services,Azure DevOps,16
Cloud Platforms & Services,Amazon CodeWhisperer,12
Cloud Platforms & Services,Azure OpenAI,10
Cloud Platforms & Services,Databricks,10
Cloud Platforms & Services,Cloud,9
Cloud Platforms & Services,Microsoft,9
Cloud Platforms & Services,Azure Cloud,7
Cloud Platforms & Services,Google Cloud Platform,7
Cloud Platforms & Services,Amazon Web Services (AWS),6
Cloud Platforms & Services,MS Azure OpenAI,6
Cloud Platforms & Services,cloud,6
Cloud Platforms & Services,cloud technologies,6
Cloud Platforms & Services,cloud-native technologies,6
Cloud Platforms & Services,GitHub,5
Cloud Platforms & Services,GitLab,5
Cloud Platforms & Services,Nvidia-stack,5
Data Analysis,SQL,10
Data Analysis,Tableau,6
Data Analysis,PySpark,5
Data Analysis,BigQuery,2
Data Analysis,DBT,2
Data Analysis,Dataiku,2
Data Analysis,ElasticSearch,2
Data Analysis,Looker,2
Data Analysis,Pandas,2
Data Analysis,data science,2
Data Analysis,Algolia,1
Data Analysis,BI,1
Data Analysis,Data Analytics,1
Data Analysis,Data Science tooling,1
Data Analysis,Databricks Platform,1
Data Analysis,Dataform,1
Data Analysis,Denodo,1
Data Analysis,Excel,1
Data Analysis,GA4,1
Data Analysis,Jive REST API,1
Data Modeling,PyTorch,27
Data Modeling,TensorFlow,22
Data Modeling,Machine Learning,17
Data Modeling,machine learning,15
Data Modeling,scikit-learn,14
Data Modeling,machine learning models,11
Data Modeling,ML,10
Data Modeling,deep learning,10
Data Modeling,Computer Vision,7
Data Modeling,ML models,7
Data Modeling,machine learning algorithms,6
Data Modeling,Deep Learning,5
Data Modeling,Dataiku,4
Data Modeling,ML modellen,4
Data Modeling,AI,2
Data Modeling,Decision Trees,2
Data Modeling,Facebook Prophet,2
Data Modeling,Generative AI,2
Data Modeling,Geospatial AI,2
Data Modeling,GraphQL,2
Data Processing,numpy,3
Data Processing,NumPy,2
Data Processing,Pandas,1
Data Processing,bigquery,1
Data Processing,dataform,1
Data Storage,PostgreSQL,15
Data Storage,Redis,9
Data Storage,BigQuery,8
Data Storage,Cassandra,7
Data Storage,ElasticSearch,6
Data Storage,MongoDB,6
Data Storage,SQL Server,6
Data Storage,Elasticsearch,5
Data Storage,MySQL,5
Data Storage,NoSQL,5
Data Storage,Postgres RDS,5
Data Storage,SQL,5
Data Storage,Firebase,4
Data Storage,Oracle 19,4
Data Storage,Snowflake,3
Data Storage,Supabase,3
Data Storage,Airtable,2
Data Storage,Snowflake Database,2
Data Storage,databases,2
Data Storage,Aurora,1
Data Visualization,Tableau,7
Data Visualization,Looker Dashboards,4
Data Visualization,Power BI,4
Data Visualization,PowerBI,4
Data Visualization,Matplotlib,3
Data Visualization,PowerBi,2
Data Visualization,GTM/GA4,1
Data Visualization,Grafana,1
Data Visualization,Kibana,1
Data Visualization,Seaborn,1
Data Visualization,Spotfire,1
Data Visualization,Tosca Automation,1
Data Visualization,data visualization tools,1
LLM / Generative Models,generative AI,74
LLM / Generative Models,GenAI,62
LLM / Generative Models,LLM,59
LLM / Generative Models,Generative AI,53
LLM / Generative Models,LLMs,46
LLM / Generative Models,Claude,33
LLM / Generative Models,AI,32
LLM / Generative Models,GPT-4,32
LLM / Generative Models,large language models,30
LLM / Generative Models,GPT-4 Vision,29
LLM / Generative Models,generatieve AI-modellen,27
LLM / Generative Models,generative AI models,26
LLM / Generative Models,grote taalkundige AI-modellen,21
LLM / Generative Models,Large Language Models,19
LLM / Generative Models,ChatGPT,18
LLM / Generative Models,generatieve AI,17
LLM / Generative Models,Large Language Models (LLMs),14
LLM / Generative Models,LLM's,13
LLM / Generative Models,NLP,10
LLM / Generative Models,AI-driven systems,9
LLM Frameworks & Libraries,LangChain,38
