profile,"T0: student, frontend","T1: aimodellen, werken","T3: support, ignitetech","T4: model, train","T6: engineer, software","T7: team, solution","T8: annual, modellen","T9: developer, senior"
GenAI Engineer,24,97,16,9,3,209,0,11
ML Engineer,0,45,0,0,0,105,7,0
